iter	Passed	Remaining
0	1	136
1	2	130
2	3	124
3	4	114
4	5	111
5	7	112
6	8	110
7	9	109
8	10	108
9	11	106
10	13	105
11	14	104
12	15	104
13	16	103
14	18	102
15	19	100
16	20	99
17	21	98
18	22	97
19	24	96
20	25	94
21	26	94
22	27	92
23	28	91
24	30	90
25	31	89
26	32	88
27	33	86
28	34	85
29	36	84
30	37	83
31	38	81
32	39	80
33	40	79
34	42	78
35	43	76
36	44	75
37	45	74
38	46	72
39	47	71
40	48	70
41	49	68
42	50	67
43	51	65
44	52	64
45	54	63
46	55	62
47	56	61
48	57	59
49	58	58
50	59	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	49
58	69	48
59	70	46
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	77	40
66	79	38
67	80	37
68	81	36
69	82	35
70	83	34
71	85	33
72	86	32
73	87	30
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	95	23
80	96	22
81	97	21
82	98	20
83	99	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	107	11
90	108	10
91	109	9
92	110	8
93	111	7
94	113	5
95	114	4
96	115	3
97	116	2
98	117	1
99	119	0
